高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
美高东郊紫园	麻丘镇街沿昌万公路东800米	116.0978653,28.6717040
万科碧桂园翡翠里麓园	建新南路万科碧桂园翡翠里麓园	119.2663580,26.0257540
国信观湖湾	具区路与净慧西道交汇处向南50米	120.3645540,31.4734390
乔爱庄园	明中路666弄	121.3451860,31.0820150
江山如画汉玺	武胜路与沿河大道交汇处（江汉一桥下）	114.2678420,30.5633180
龙湖天宸原著	鹿泉山前大道608号	114.2942650,37.9745530
东都华府	莱西市政府东100米	120.5176420,36.8894080
融创曲江印	雁塔南三环与登高路东南角查看地图	108.9607090,34.1867110
锦绣山河	中心行政旅游区	113.6796200,23.0607220
水悦堂	浦泰路888弄246号	121.0389070,31.1218410
安粮城市广场	金寨南路与东流路交叉口西北角	117.2219600,31.8212910
恒大雅苑	华岩新城华福大道北段29号(华岩陶瓷市场旁）	106.4482500,29.4375660
东裕广场	东坑镇中心区	113.9163240,22.9589940
东渐广场	四甲镇诗怡花园（东通线）	121.2678930,32.0143490
东冠世纪城	宝鸡市陈仓区西虢大道与虢磻路交叉路口东侧	107.4050131,34.3537744
万科翡翠都会	黄花园（巴蜀本部正对面）	106.5632450,29.5626780
远洋庄园	经济开发区阳光大道10号	114.3645230,30.4048430
天鸿万象	人民东路天鸿万象	118.0907790,36.8160810
碧桂园浦东星作别墅	浦东青鸟路云夏路口	121.8045510,30.9070080
坤达▪国际公馆	新博北路坤达▪国际公馆	117.8682240,36.4770120
豫龙之春	郑上路与绕城高速交汇处向西500米（郑州职业技术学院西侧）	113.4497500,34.7677000
金福商厦	万江-万江中心-万江路	113.7084810,23.0318640
万科城华府	40号小区	114.4192870,23.1335540
艺邦-山水城	沙田新区西海大道与长水大道交汇处	115.0872690,29.2540460
阳光城保利臻悦	陈村镇华阳路东侧	113.1602631,22.9702473
万科翡翠四季	纺工路与万兴路交叉口	120.7682600,30.7564980
成华万科大厦	成都市成华区东二环东郊记忆旁	104.1263580,30.6702960
汉口江北新时代	阳逻街桥头村	114.3185650,30.7023290
海盐恒大都汇华庭	海盐海兴路与新桥路交叉口	121.5884470,30.8608740
万科?悦湾	欧亚三路与灞河西路交界处西北角	109.0129310,34.3400850
联仲都悦汇	昆阳路与苏家港路交汇处	121.3602500,31.0336880
清谷	北至依水街，南至俱扬街，西至湖西路，东至溪水路	117.3786180,40.0213020
三亚亚沙村	海南省三亚市抱坡路61号	109.5220108,18.3130531
玉龙湾运动度假山谷	于桥水库（翠屏湖）南5公里	117.6136330,40.0309840
碧水云天	黎里镇新友路	120.8241580,31.0347260
悦融湾	党湾文化东路（党湾镇政府东南面约50米）	120.5508900,30.2236680
富力-浔阳公馆	庐峰东路与和平路（原战备路）交汇处向南100米	116.0040060,29.7260400
沁水新城-徽居映月	长乐东路2号	109.0360640,34.2682930
望川十里	木兰湖附近（李先念故居旁）	114.2258710,30.5803390
金鑫缗城一品	金城路与金山街交汇处	116.3119970,35.0765470
斌锋时代城	临泉东路与金阳路交汇处西南角	117.4399980,31.8817730
恒悦居	仙葫大道中12号	108.4584200,22.8081200
裕丰花园	高新区鹏泉东大街裕丰小学东500米	117.7300030,36.2083660
荷澜庭	狮山街道邓尉路北、长江路西（绿宝广场对面）	120.5480940,31.3011960
绿城凤起籣庭	光华东5路69号	103.9618280,30.6656940
科为城	天雄西路以南，横十一路以北，纵十路以东，兴信路以西	108.6896295,34.2786351
元都新苑	杭玻路(杭玻路以北，华东路以东,永华路以南)	120.2011430,30.3442490
石榴-玉兰湾	华龙路石榴·玉兰湾	115.6741370,39.0314960
中建铂公馆	八坦路与白沙洲大道交汇处	114.2814870,30.4889580
中奥滨江one	九龙湖上饶大街与雅瑶路交汇处	115.8184594,28.6080938
英特小区	武昌-中北路-徐东大街316号	114.3574770,30.5755760
弘阳-昕悦棠	龙翔大道弘阳·昕悦棠	120.5130020,30.6719220
金泰芝溪阁	芝溪路金泰芝溪阁	120.9616970,31.6054120
上亿中央郡	崇贤街道崇杭街与塘康路交叉口	120.1626510,30.3814240
晶城秀府	太白南路与丈八东路交汇处	108.8980750,34.1967610
景域铂悦	南昌县澄湖北大道与澄湖西路交叉路口西侧	115.9335914,28.5634368
香缤雅苑	东莞寮步镇蟠龙路，政府公务员公寓旁	113.8741750,23.0007760
中赫玫瑰园	钓鱼台路1号	120.6948860,31.4736970
泰信凤凰城	德安县金盾路以北，江府东二路以西，府北路以南	115.7625780,29.3288500
蓝河湾	北京密云区水源东路（华润万象汇北侧）向东200米	116.8397560,40.3596570
碧桂园中堂	南京路与嵩山路交口	117.3167460,31.7516320
玫瑰园	桃仙大街100号	123.5183980,41.6703890
鉴湖壹号院	二环西路鉴湖大桥西侧（客运西站斜对面）	120.5442963,30.0016327
九珑台	郑新快速路与双湖大道交会处向东1000米路南	113.5667980,34.7369360
九龙花园	九龙花园位于花溪清溪大道旁	106.6776450,26.4318140
山水新城	明溪路338号,海滨二路599号	119.9766000,35.8665080
东方怡园	石丰路与育才街交口西行100米路南	114.6090060,38.0751760
锦汇城	科锦路355号（川农大旁）	103.8564160,30.7067190
彩虹瀛园	彩虹路以南，滨河路以东	117.1511400,37.2844220
银信中心	松柏路1号	114.2081120,22.6463640
融创-领地凤鸣桃源风雅颂	鲁尔大道融创·领地凤鸣桃源风雅颂	117.4877250,34.4374610
华策中心城	龙城街道	114.2443320,22.7010810
奥山府九重锦	东三环成南立交东侧	104.1629930,30.6697980
青建香根四季	莱青路379号	120.6646240,36.4260250
常青花园恒大御景	常青花园6号（地铁2号线常青花园B出口）	114.2460010,30.6497370
中辉国际	江州大道中辉国际	115.9105720,29.6180690
香醍新天地	曹妃甸新区唐海镇曹妃甸区滨海大街221号	118.4121760,39.2671870
七里香榭	新站区新蚌埠路（原张洼路）与站前路交汇处东南	117.3070560,31.8888200
沙子口渔港改造	沙子口湾畔，原沙子口国家中心渔港驻地	120.5437120,36.1183560
青浦区香花桥街道E-04-06、E-04-23地块	青浦东至:小浦港,南至:胡渡浜,西至:西大盈港,北至:规划道路	121.0846820,31.1885280
海城华府	兴平市西城区友谊南路	108.4537125,34.3022575
幸福嘉园	津南区双闸小黄庄	117.3935410,38.8788320
铜雀	工体北路9号	116.4454920,39.9340210
雍华府	钟公庙街道贸城路与保丰路交汇处	121.5364170,29.8257190
仁恒双湖湾	园区星湖街1211号（石港路与东华林路交叉口）	120.7241900,31.2917690
荣安江枫晓月	江东南路荣安江枫晓月	121.5607920,29.8660800
银亿金域华府	东谷路与丹河路交叉口东南角	121.8956280,29.4596610
玲珑府叮当	西兴街道，东临西兴路，西至纤陌路，南至滨康路，北至滨安路	120.2256630,30.1823750
金辉紫雅云邸	紫金港北路和甲来路交叉口	120.0679040,30.3340120
恒大御景湾	金利镇金马大桥北金福大道	112.7975450,23.1249590
东苑古北尚公馆	虹中路366号	121.3846020,31.1813580
广厦水岸东方	长乐路浐河东岸（地铁1号线浐河站A1出口）	109.0455090,34.2664390
华洲首府	永嘉县永嘉县乌牛镇新宅路与电力路交叉口	120.7903740,28.0345480
汇景公寓	濉溪路与淮南路交汇处东南	117.3035090,31.9184410
古北大成公馆	闵行红松东路321弄	121.4043170,31.1883600
昆明恒大国际健康城	二号路三号路交汇处	103.0995500,25.2658660
融信青澜	新城路融信新尧G38地块	118.8790360,32.1288710
荔城玉锦园	强国道与翠通路交口	117.0069290,39.3819060
首义小区	阅马场首义路	114.3094930,30.5374280
保利熙悦	齐州路与经十路交叉口	116.8992150,36.6550960
福晟钱隆华府	广东省惠州市仲恺区陈江街道白云路280号	114.3162950,23.0029050
莱蒙水榭阳光	雨花宁丹路与大周路交汇处	118.7539220,31.9455440
雅居乐锦城	济南长清区五峰路与龙泉街交汇处龙泉街2266号	116.7433360,36.5497340
汇景幸福里	平湖当湖街道，曹金路与大桥路交叉口查看地图	121.0910070,30.9032360
华远君城	马旗寨路（太元路）华远君城	108.9825470,34.3000530
时代幸汇	环市东路188号兰馨花园	113.2636910,22.8423540
仪征帝景蓝湾	解放东路与江城路交会处西南角	119.1843860,32.2717830
凯悦华庭	罗湖春风路	114.1176540,22.5362040
中海枫桥里	天沁路与李家西路交汇处（江北外国语学校斜对面）	121.5500710,29.9206720
南门春天地	建设街53号	108.2731570,23.1566870
阳光新苑	深圳市福田区皇岗路	114.0713620,22.5723440
顺丰新未来	吉力湖街与仙女河北路交汇处	123.3325190,41.7691340
御湖佳苑	珍珠湖西路与玉带路交口	120.6578260,31.4686500
中国铁建花语江南	嘉兴市南湖区城南路中环南路交叉口	120.7373570,30.7406060
苑林星月湾	花溪大道北段194号	106.6959820,26.5668730
鲁商金茂观海印象	东临观海路，西至双河东路，北临逛荡河，南至学院西路	121.4685256,37.4543446
S半岛	澄湖西路111号	120.6213440,31.2415190
安居和苑	青龙路与兴安路交叉路口往西南约200米(安居家园)	102.5713420,24.6486420
璧山雅瑞阁青山河畔	璧山青杠街道民安街(汇城大酒店旁)	106.2359290,29.4696700
保利同济府	同济西路5号	113.1071500,23.0191580
达令港	海水浴场附近(开发区滨海大道南)	120.0571950,35.8793740
澋悦苑商铺	硚口区解放大道南古田路与古画路交汇处（万嘉广场旁）	114.1950800,30.5915590
上海花园	城西中山西路与正通路交汇处	120.4785290,32.3562660
美的君兰江山	哈尔滨路以南，惠工街以西	123.4378720,41.8109170
百郦华庭	无锡市锡东高铁商务区和祥路和润锡中路交叉口	120.4578510,31.5861950
融信后海	鹤林公交站斜对面	119.3095000,26.0741000
恒大御峰	南关前进大街与金宇大路交会南行500米	125.2960920,43.7965030
万联花园	世纪大道与车站南路交汇处	120.9221650,30.8169390
清溪川九号	万家丽路与木莲路交汇处（圭塘河西岸）	113.0316010,28.1309550
碧桂园龙游湖	城南街道万寿南路和大明河交汇处（龙游湖畔）	120.6095190,32.3418230
佳兆业天御	湖南省长沙市岳麓区梅溪湖环湖路与近湖六路交界处	112.8946760,28.1781560
保利和光晨樾	白沙洲大道东风小学旁	114.2599380,30.4121580
盛世豪庭	两英镇英深路北侧（乌池家私批发部东侧）	116.3593330,23.2131990
鑫远杰座	芙蓉南路西侧	112.9868300,28.1350590
航运新村	瑶海-曙光影院-肥东路	117.3356630,31.8550700
蓝光晶曜雅苑	秀湖板块，东至秀园路，南至成秀路，西至空地，北至火炬路	121.3122760,30.6997600
置地瑞玺	马鞍山路与青年路交口	117.3056920,31.8283430
德胜汤山骨胶厂G18地块	汤山街道南京骨胶厂	118.8960750,31.9598500
中信-博鳌亚洲风情广场	海滨街西侧（亚洲论坛成立会址旁）	109.7597170,18.3124790
阳光海岸悦湾	万江-客运总站-滨江西路	113.7024830,23.0231740
中梁建宁檀府	荷塘红旗商圈·建宁港路123号（金山街道办事处对面）查看地图	112.9082460,28.3093360
清锦源	中央别墅区京承高速后沙峪出口向东800米温榆河桥东	116.5362130,40.0890540
茂丰-半山溪谷	九园路（新市行政服务中心正南1.5公里）	115.9327740,29.6081840
西苑合盛园	淄城路西苑合盛园	117.9850340,36.6649740
梅景苑	宁波海曙鄞江大桥村梅景苑度假村接待中心	121.3538870,29.8078020
松兰山壹号项目	松兰山滨海旅游度假区内	121.9648640,29.4255190
水墨轩香	海南省三亚市吉阳区凤凰路与溪美路交汇处（东岸湿地公园旁）	109.5110000,18.2829270
硅谷壹号公元	范家屯镇东胜路与滨河路交会	126.5648590,44.8260690
山海汇	南澳隆云公路牛郎崛	116.7500030,23.3644660
万科汉口传奇悦庭	新华路与发展大道交汇处	114.2608440,30.6191360
中航城-果岭东方	共青城富华大道88号（富华大道与高尔夫大道交汇处）查看地图	115.8233210,29.2337500
新世界名镌	新安街道广盛路,山顶径5号	113.9098400,22.5898070
享海1777	惠东县港口滨海旅游度假区东山海地段	114.9231570,22.6099610
成大锦嘉国际	江北桂花街支路10号查看地图	106.5737400,29.5717900
龙湖天宸原著	永怡路与长青路交汇处	120.8353990,32.0467460
100福国际山庄	铁骑山路10号	120.5249250,36.3121700
意禾佶第	金寨路与绩溪路交口西南角	117.2772282,31.8510556
卓越蔚蓝府邸	双元路18号	120.3417140,36.2624850
融杭府	夏履镇新民村	120.3605690,30.0652980
禹洲中央海岸	集美区杏林湾杏林大桥首站,宁海二里10-15	118.1269320,24.5011590
花样年9号地块	香山路烟波路路口东侧	120.4146550,31.2149310
宝嘉誉峰	岐港路6号	113.3674820,22.5450230
公园2046	公园2046位于新站区瑶海公园北侧	117.3143490,31.8942590
中庚-香匯新时代	福腾路中庚·香匯新时代	119.3766360,25.7497260
花样年家天下	葵坪路与金葵西路交汇处西南100米	114.4147210,22.6410060
鹿苑小区	南沙科技园	113.5403400,22.7996700
瑞斯丽悦庭	港务区港务大道7号	109.0712830,34.3719150
融侨悦江南	太仓市科教新城陈门泾路66号	121.1194830,31.4196300
豪苑花园	东莞市东城立新管理区豪苑花园	113.7670040,22.9998960
联发嘉和府	兴山路联发·嘉和府	118.1275360,24.5043830
名城御景绿洲	河东南路388号	113.6011550,23.5311920
欣隆盛世-欣禧湾	新丰镇双龙路与登云路交叉口东南侧	120.9293510,30.7042660
中骏天悦	固川路166弄	121.4052710,31.2549870
城改公园首府	南一环路南、县中医院西	117.2939430,31.8481670
天坛府品牌馆	北京市东城区景泰路与安乐林路交汇处	116.4137600,39.8653060
3302小区	建设大街与槐中路交叉口处	114.5124640,38.0257120
金地名京	新城大道与红荔路交汇处（常平中心幼儿园旁）	114.0744750,22.7235720
融创观澜壹号	环湖路与新桥四路交汇处	114.1618100,30.6452540
上城公馆	兴盛路339号	121.8963830,29.4669370
阳光18号院	良乡阳光北大街18号	116.1645970,39.7304030
正源荟艺境	双流区黄水镇荟萃路6号	103.9051010,30.5530710
都会轩	和平南京路与长沙道交口西南侧（耀华中学对面）	117.2006980,39.1182140
融侨悦城	阜阳北路与凌湖路交口东北角	117.2819380,31.9171610
廊桥映像	崔廊公路南侧时特购物中心西800米	116.8756430,39.5241970
骏涛华府	和畅七路西40号	114.3368680,23.0234010
碧桂园-凤凰湾	顺德区容桂外环路水漾林庭II区北侧	113.3985080,23.0528180
仙逸兰亭	4A太极文化景区内	107.1454724,34.3940239
金科铂悦都会	佛山顺德伦教珍宝酒楼（总店）对面	113.2046830,22.8753020
海上世界双玺	南山蛇口望海路与工业三路交汇处	113.9188030,22.4829130
中铁-诺德名苑	河北西路与云山道交口	117.6531990,39.0663890
家路壹号	淡水承修四路南侧草洋片区	114.4540930,22.7798160
铜梁龙都-时代广场	迎宾支路	106.0612180,29.8318380
光耀将军湖	将军路（4A风景区叶挺将军纪念园旁）	114.4208880,22.8558600
金域蓝湾B区	东海开发区柳海村北800米（沿海路以北海岸线以南）	120.4248400,37.6987780
